bjd_code,altitude_m,altitude_source
1217043028,28,emd_point
1217043029,28,emd_point
1217043030,28,emd_point
1217043031,28,emd_point
1217043032,28,emd_point
1217043033,28,emd_point
1217043034,28,emd_point
1217043035,28,emd_point
1217043036,28,emd_point
1217043037,28,emd_point
1217043038,28,emd_point
1219010100,9,region_point
1219010200,9,region_point
1219010300,9,region_point
1219010400,9,region_point
1219010500,9,region_point
1219010600,9,region_point
1219010700,9,region_point
1219010800,11,emd_point
1219010900,10,emd_point
1219011000,11,emd_point
1219025000,14,emd_point
1219025021,14,emd_point
1219025022,14,emd_point
1219025023,14,emd_point
1219025024,14,emd_point
1219025025,14,emd_point
1219025026,14,emd_point
1219025027,14,emd_point
1219025028,14,emd_point
1219025029,14,emd_point
1219025030,14,emd_point
1219025031,14,emd_point
1219025032,14,emd_point
1219025033,14,emd_point
1219025034,14,emd_point
1219025035,14,emd_point
1219031000,45,emd_point
1219031021,45,emd_point
1219031022,45,emd_point
1219031023,45,emd_point
1219031024,45,emd_point
1219031025,45,emd_point
1219031026,45,emd_point
1219031027,45,emd_point
1219032000,42,emd_point
1219032021,42,emd_point
1219032022,42,emd_point
1219032023,42,emd_point
1219032024,42,emd_point
1219032025,42,emd_point
1219032026,42,emd_point
1219032027,42,emd_point
1219032028,42,emd_point
1219033000,7,emd_point
1219033021,7,emd_point
1219033022,7,emd_point
1219033023,7,emd_point
1219033024,7,emd_point
1219033025,7,emd_point
1219033026,7,emd_point
1219033027,7,emd_point
1219034000,6,emd_point
1219034021,6,emd_point
1219034022,6,emd_point
1219034023,6,emd_point
1219034024,6,emd_point
1219034025,6,emd_point
1219034026,6,emd_point
1219034027,6,emd_point
1219035000,8,emd_point
1219035021,8,emd_point
1219035022,8,emd_point
1219035023,8,emd_point
1219035024,8,emd_point
1219035025,8,emd_point
1219035026,8,emd_point
1219035027,8,emd_point
1219035028,8,emd_point
1219035029,8,emd_point
1219035030,8,emd_point
1219036000,10,emd_point
1219036021,10,emd_point
1219036022,10,emd_point
1219036023,10,emd_point
1219036024,10,emd_point
1219036025,10,emd_point
1221010100,60,region_point
1221010200,60,region_point
1221010300,60,region_point
1221010400,60,region_point
1221010500,60,region_point
1221010600,60,region_point
1221010700,60,region_point
1221010800,59,emd_point
1221010900,60,region_point
1221011000,60,region_point
1221011100,60,region_point
1221011200,60,region_point
1221011300,60,region_point
1221011400,60,region_point
1221011500,60,region_point
1221011600,60,region_point
1221011700,60,region_point
1221011800,60,region_point
1221011900,60,region_point
1221012000,60,region_point
1221012100,60,region_point
1221012200,60,emd_point
1221012300,60,region_point
1221012400,60,region_point
1221012500,60,region_point
1221012600,60,region_point
1221012700,60,region_point
1221012800,60,region_point
1221012900,60,region_point
1221013000,60,region_point
1221013100,60,region_point
1221013200,60,region_point
1221013300,60,region_point
1221013400,60,region_point
1224010400,42,emd_point
1224010600,47,region_point
1224011500,29,emd_point
1224011600,47,region_point
1224011700,47,region_point
1224011800,47,region_point
1224011900,47,region_point
1224012000,29,emd_point
1224012100,47,region_point
1224012500,31,emd_point
1224012600,47,region_point
1224012700,47,region_point
1224012800,86,emd_point
1224012900,47,region_point
1224013000,47,region_point
1224013100,47,region_point
1224013200,47,region_point
1224013300,25,emd_point
1227010100,108,region_point
1227010200,108,region_point
1227010300,108,region_point
1227010400,54,emd_point
1227010500,108,region_point
1227010600,108,region_point
1227010700,108,region_point
1227010800,77,emd_point
1227010900,108,region_point
1227011000,108,region_point
1227011100,108,region_point
1227011200,108,region_point
1227011300,58,emd_point
1227011400,108,region_point
1227011500,108,region_point
1227011600,108,region_point
1227011700,108,region_point
1227011800,108,region_point
1227011900,108,region_point
1227012000,108,region_point
1227012100,108,region_point
