point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
700,어청도,36.12508,125.9682,58,42,95,,65.0,kma_aws
701,무주,36.00168,127.66836,212,72,93,251,0.0,kma_aws
702,익산,35.93807,126.99252,11,60,91,245,0.0,kma_aws
703,진안,35.76036,127.43743,354,68,88,250,0.0,kma_aws
704,변산,35.62095,126.47755,1,51,84,256,29.2,kma_aws
706,담양,35.31021,126.97266,44,60,78,36,5.0,kma_aws
707,지도,35.05796,126.20839,34,47,72,47,25.0,kma_aws
708,광산,35.12886,126.74524,29,56,74,35,5.0,kma_aws
709,구례,35.20808,127.49355,27,70,76,38,7.1,kma_aws
710,나주,35.02504,126.74397,7,56,71,29,0.0,kma_aws
711,이양,34.89711,126.9898,77,61,69,41,15.0,kma_aws
712,순천시,34.90351,127.51927,2,70,69,28,5.0,kma_aws
713,광양읍,34.97507,127.58259,15,71,71,28,7.1,kma_aws
714,자은도,34.87909,126.02868,2,44,68,26,30.4,kma_aws
716,하의도,34.63066,126.03198,2,44,63,51,28.3,kma_aws
717,의신,34.42749,126.30976,11,49,58,51,7.1,kma_aws
718,상조도,34.33303,126.03646,6,44,56,51,25.0,kma_aws
719,선유도,35.8088,126.3977,11,50,88,256,30.4,kma_aws
720,보길도,34.16215,126.55508,14,53,52,50,28.3,kma_aws
721,금일,34.33904,127.02825,4,62,56,50,25.0,kma_aws
722,조선대,35.13681,126.92875,110,60,74,31,0.0,kma_aws
723,거문도,34.02792,127.30898,6,67,50,,58.3,kma_aws
724,추자도,33.95783,126.30157,8,48,48,,55.0,kma_aws
725,우도,33.52289,126.95414,9,60,39,222,35.4,kma_aws
726,마라도,33.12206,126.26786,11,48,30,223,29.2,kma_aws
727,유수암,33.40986,126.39293,425,50,36,222,18.0,kma_aws
730,장성,35.2794,126.7611,44,57,77,49,0.0,kma_aws
731,영암,34.81666,126.68634,4,55,67,45,7.1,kma_aws
732,보성,34.76192,127.09209,145,63,66,40,5.0,kma_aws
733,함라,36.0461,126.8917,49,59,94,245,15.8,kma_aws
734,완주,35.98551,127.24573,64,65,92,242,18.0,kma_aws
735,덕유산,35.89424,127.77306,660,74,91,251,14.1,kma_aws
736,진봉,35.84679,126.78401,2,57,89,248,11.2,kma_aws
