region_code,region_name,scenario,crop_code,api_ec_value,ec_value_on_band_scale,score,penalized,measured,method_warning
4313011400,충청북도 충주시 달천동,raw_1_to_5,03001,1.325,1.325,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5111025000,강원특별자치도 춘천시 신북읍,raw_1_to_5,03001,0.8890389491705677,0.8890389491705677,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5273025000,전북특별자치도 무주군 무주읍,raw_1_to_5,03001,0.35,0.35,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4719025000,경상북도 구미시 선산읍,raw_1_to_5,03001,0.49,0.49,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1284025000,전남광주통합특별시 장성군 장성읍,raw_1_to_5,03001,2.0292249247668277,2.0292249247668277,94.6,True,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5221036000,전북특별자치도 김제시 부량면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4888000000,경상남도 거창군,raw_1_to_5,03001,0.223,0.223,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1287025300,전남광주통합특별시 신안군 압해읍,raw_1_to_5,03001,1.6801411342196155,1.6801411342196155,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4827036000,경상남도 밀양시 상남면,raw_1_to_5,03001,0.8,0.8,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4776025000,경상북도 영양군 영양읍,raw_1_to_5,03001,1.17,1.17,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5011025300,제주특별자치도 제주시 애월읍,raw_1_to_5,03001,0.36,0.36,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4180036000,경기도 연천군 신서면,raw_1_to_5,03001,0.29,0.29,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5177025900,강원특별자치도 정선군 신동읍,raw_1_to_5,03001,0.381,0.381,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5173036000,강원특별자치도 횡성군 공근면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4882025000,경상남도 고성군 고성읍,raw_1_to_5,03001,0.38,0.38,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5179025000,강원특별자치도 화천군 화천읍,raw_1_to_5,03001,0.25,0.25,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5271036000,전북특별자치도 완주군 고산면,raw_1_to_5,03001,0.5,0.5,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4719032000,경상북도 구미시 옥성면,raw_1_to_5,03001,0.49,0.49,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1217040000,전남광주통합특별시 나주시 산포면,raw_1_to_5,03001,0.6775404036888354,0.6775404036888354,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4476031000,충청남도 부여군 규암면,raw_1_to_5,03001,1.86,1.86,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4888031000,경상남도 거창군 주상면,raw_1_to_5,03001,0.223,0.223,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1213013800,전남광주통합특별시 여수시 주삼동,raw_1_to_5,03001,0.8241583655293329,0.8241583655293329,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4874036000,경상남도 창녕군 대지면,raw_1_to_5,03001,0.4,0.4,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4721039000,경상북도 영주시 부석면,raw_1_to_5,03001,0.395,0.395,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4157035000,경기도 김포시 월곶면,raw_1_to_5,03001,0.5712419644144213,0.5712419644144213,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4792039000,경상북도 봉화군 석포면,raw_1_to_5,03001,0.2,0.2,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
